id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786949111_w6czdyl0t,2025-11-22T04:49:09.111Z,6b04bb07dbb2b99cf1137fdf92bf10d25a667b47a43098a69208d1ad4fcf2bc8,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,3,0
audit_1763786949103_x70k1plf4,2025-11-22T04:49:09.103Z,6b172d8a45c667ca066d0aad6760bc7e68be319e7b603c4d94cfe33dee10f112,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,4,0
audit_1763786949086_amcjzskai,2025-11-22T04:49:09.086Z,4c30cce2a576b3d716301f49f6becfeab0ed2ee8abb80aeb8841af14d03ade3a,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,7,0
audit_1763786949062_gqtwzrn6b,2025-11-22T04:49:09.062Z,f9d3dc3fd5293c484a4d2b7e65fc697b52994923c48a7693c07bd1be851690a0,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,10,0
audit_1763786949008_fsmjw8yau,2025-11-22T04:49:09.008Z,9df6235431ccc1d0280cc664375a7040f56ee28f40bc9c610d3182819473b880,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,5,0
audit_1763786948988_m4w08rh2x,2025-11-22T04:49:08.988Z,b3c3c13b854bfdb6cc7719184bef1df875381246bb0df0fbc31cd5bbeeca81ef,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,43,43,4,6,0
audit_1763786948971_pj1c39atl,2025-11-22T04:49:08.971Z,50c4f7d31f3fe2fbd0c902a1dbd15b9e125985fa480916f8dd03e5f72c66a177,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,3,0
audit_1763786948960_6qbv6o4o0,2025-11-22T04:49:08.960Z,c203fa6f2d1ef9a52e0339e641e08174f653ce59e7ede5584c3aaef17e824909,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,2,0
audit_1763786948939_v2wyu0ibe,2025-11-22T04:49:08.939Z,c9f3ea657feb98fca14de75b01159e3fecc8efcbeea59dec83ce9cc513166207,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,3,0
audit_1763786948909_ymwu8txco,2025-11-22T04:49:08.909Z,b4261cdfaf49a8df4789bc6881e2b2f5cff38a3cf6d1a35f88953be23aaa8c45,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,3,0
